[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/atttechchannel.py first seen with mtime 1557452378.9322553
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/spankwire.py first seen with mtime 1557452378.9482553
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/beatport.py first seen with mtime 1557452378.9522555
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/malltv.py first seen with mtime 1557452378.9522555
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/gazeta.py first seen with mtime 1557452378.9082549
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/dailymotion.py first seen with mtime 1557452378.9562554
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/skynewsarabia.py first seen with mtime 1557452378.916255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/ninenow.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/nzz.py first seen with mtime 1557452378.8962548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1557533264.6054819
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/streamango.py first seen with mtime 1557452378.904255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/db/models/constants.py first seen with mtime 1557533264.7654848
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/prosiebensat1.py first seen with mtime 1557452378.9082549
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/core/handlers/__init__.py first seen with mtime 1557533264.7534847
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/soundgasm.py first seen with mtime 1557452378.8962548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/linkedin.py first seen with mtime 1557452378.9002547
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/viewster.py first seen with mtime 1557452378.9362552
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/imdb.py first seen with mtime 1557452378.8882546
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/rte.py first seen with mtime 1557452378.9482553
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1557533264.717484
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/la7.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/onet.py first seen with mtime 1557452378.920255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/selectors.py first seen with mtime 1530192447.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/urllib3/response.py first seen with mtime 1549044408.486832
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/ctsnews.py first seen with mtime 1557452378.912255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/firsttv.py first seen with mtime 1557452378.9362552
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/ssl.py first seen with mtime 1530192447.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/azmedien.py first seen with mtime 1557452378.9642556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/sohu.py first seen with mtime 1557452378.9642556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/ted.py first seen with mtime 1557452378.9322553
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/email/policy.py first seen with mtime 1530192454.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/tiktok.py first seen with mtime 1557452378.9242551
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/requests/utils.py first seen with mtime 1549044408.1868317
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/chardet/escprober.py first seen with mtime 1549044408.6908321
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/messages/constants.py first seen with mtime 1557533264.6854832
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/giga.py first seen with mtime 1557452378.9602556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/db/models/options.py first seen with mtime 1557533264.769485
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/urls/__init__.py first seen with mtime 1557533264.7854853
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/youtube project/youtubeService/page404/__init__.py first seen with mtime 1556021145.666333
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/core/servers/__init__.py first seen with mtime 1557533264.7574847
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/freesound.py first seen with mtime 1557452378.928255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/pbs.py first seen with mtime 1557452378.9242551
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/pandoratv.py first seen with mtime 1557452378.9482553
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/kusi.py first seen with mtime 1557452378.928255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/joj.py first seen with mtime 1557452378.9082549
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/inc.py first seen with mtime 1557452378.9642556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/http/server.py first seen with mtime 1530192454.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/enum.py first seen with mtime 1530192447.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/nba.py first seen with mtime 1557452378.9482553
